std_smiles,expt_test,database
CC(F)(F)C1(C#N)CCC1,0,emolecules
CC(F)CS(=O)(=O)Cl,0,emolecules
N#CC1CC1C=O,0,emolecules
N#CCOCC(F)F,0,emolecules
COC(=O)C(Cl)C=O,0,emolecules
CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,0,emolecules
O=C(CCl)OC(=O)CCl,0,emolecules
COC(=O)C(C=O)C=O,0,emolecules
COCC(F)(F)C(=O)OC,0,emolecules
CC1(C)OC1C#N,0,emolecules
O=[N+]([O-])C(Cl)(Cl)[N+](=O)[O-],0,emolecules
O=C1CC(CC(F)(F)F)CC(=O)O1,0,emolecules
CC(Cl)CCl,0,emolecules
N#CC1CCCCO1,0,emolecules
O=C1CC(C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O1,0,emolecules
CC(=O)OCC=O,0,emolecules
N#CCCCCC(F)(F)F,0,emolecules
O=C(Cl)OCC(F)(F)C(F)(F)F,0,emolecules
CC(C)(C(=O)Cl)C(F)(F)F,0,emolecules
O=C(Cl)OCC(F)F,0,emolecules
FC(Cl)(Cl)SCl,0,emolecules
FC(F)(F)C(F)(F)C1CO1,0,emolecules
FC(F)C(F)(F)OCC(F)(F)F,0,emolecules
O=C(Cl)C1CC(F)(F)C1,0,emolecules
CC1COC(C#N)C1,0,emolecules
COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,0,emolecules
N#CCOCC(F)(F)F,0,emolecules
COC(=O)C(C(F)(F)F)C(F)(F)F,0,emolecules
ClCCCCCl,0,emolecules
N#CC1(Cl)CCC1,0,emolecules
CC(=O)OC(C)C(=O)Cl,0,emolecules
O=S(=O)(OCC(F)(F)Cl)C(F)(F)F,0,emolecules
CCC(C)(C#N)CC=O,0,emolecules
CCCC1(CC)OC1C#N,0,emolecules
O=C1COC(=O)C1Cl,0,emolecules
CCCCCCC#N,0,emolecules
COC(=O)CC(=O)Cl,0,emolecules
O=S(=O)(Cl)CCCC(F)F,0,emolecules
CC(Cl)CS(F)(F)(F)(F)F,0,emolecules
CCOC(C)CC#N,0,emolecules
FC1(F)OC(F)(F)C(F)(F)C1(F)F,0,emolecules
O=S(=O)(F)CCS(=O)(=O)Cl,0,emolecules
FC(F)(F)CCCCl,0,emolecules
CC1C(C#N)(C#N)C1(C#N)C#N,0,emolecules
O=C(CC(F)(F)F)OCCl,0,emolecules
CC(=O)OCC(F)(F)C(F)(F)F,0,emolecules
FC(F)(F)C(Cl)CCl,0,emolecules
ClC(Cl)OC(Cl)Cl,0,emolecules
O=S(=O)(Cl)CCC(F)(F)C(F)(F)F,0,emolecules
CCC(C)CC(F)(F)F,0,emolecules
O=COCC(F)(F)F,0,emolecules
